Season;Club;Coach;StartRound;EndRound;Source
2026-27;Atalanta;Maurizio Sarri;1;38;Lega Serie A 2026/27
2026-27;Bologna;Domenico Tedesco;1;38;Lega Serie A 2026/27
2026-27;Cagliari;Fabio Pisacane;1;38;Lega Serie A 2026/27
2026-27;Como;Cesc Fabregas;1;38;Lega Serie A 2026/27
2026-27;Fiorentina;Fabio Grosso;1;3;Cambio panchina 06/09/2026
2026-27;Fiorentina;Paolo Vanoli;4;38;Nomina 07/09/2026
2026-27;Frosinone;Massimiliano Alvini;1;38;Lega Serie A 2026/27
2026-27;Genoa;Daniele De Rossi;1;38;Lega Serie A 2026/27
2026-27;Inter;Cristian Chivu;1;38;Lega Serie A 2026/27
2026-27;Juventus;Luciano Spalletti;1;38;Lega Serie A 2026/27
2026-27;Lazio;Gennaro Gattuso;1;38;Lega Serie A 2026/27
2026-27;Lecce;Eusebio Di Francesco;1;38;Lega Serie A 2026/27
2026-27;Milan;Ruben Amorim;1;38;Lega Serie A 2026/27
2026-27;Monza;Ivan Juric;1;38;Lega Serie A 2026/27
2026-27;Napoli;Massimiliano Allegri;1;38;Lega Serie A 2026/27
2026-27;Parma;Carlos Cuesta;1;38;Lega Serie A 2026/27
2026-27;Roma;Gian Piero Gasperini;1;38;Lega Serie A 2026/27
2026-27;Sassuolo;Alberto Aquilani;1;38;Lega Serie A 2026/27
2026-27;Torino;Ignazio Abate;1;38;Lega Serie A 2026/27
2026-27;Udinese;Kosta Runjaic;1;38;Lega Serie A 2026/27
2026-27;Venezia;Giovanni Stroppa;1;38;Lega Serie A 2026/27
