Coach;CoachKey;Role;FIA;Confidence;Stability;SampleVotes;EffectiveVotes;ResidualSD;Clubs;Seasons
Allegri;allegri;P;0.038;0.6472;0.4008;75;64.2;0.615;Juventus | Milan;2023-24 | 2025-26
Allegri;allegri;D;0.0417;0.8908;0.5797;330;285.6;0.537;Juventus | Milan;2023-24 | 2025-26
Allegri;allegri;C;-0.048;0.9125;0.587;427;364.9;0.554;Juventus | Milan;2023-24 | 2025-26
Allegri;allegri;A;-0.1327;0.8294;0.494;205;170.2;0.679;Juventus | Milan;2023-24 | 2025-26
Andreazzoli;andreazzoli;P;0.0221;0.2424;0.1412;16;11.2;0.716;Empoli;2023-24
Andreazzoli;andreazzoli;D;-0.0532;0.5902;0.3882;72;50.4;0.52;Empoli;2023-24
Andreazzoli;andreazzoli;C;-0.0192;0.6552;0.4455;95;66.5;0.47;Empoli;2023-24
Andreazzoli;andreazzoli;A;-0.0551;0.505;0.3237;51;35.7;0.56;Empoli;2023-24
Ballardini;ballardini;P;-0.0198;0.1935;0.1468;12;8.4;0.319;Sassuolo;2023-24
Ballardini;ballardini;D;-0.0515;0.5413;0.3304;59;41.3;0.638;Sassuolo;2023-24
Ballardini;ballardini;C;-0.0801;0.5495;0.3581;61;42.7;0.535;Sassuolo;2023-24
Ballardini;ballardini;A;-0.0722;0.4118;0.252;35;24.5;0.634;Sassuolo;2023-24
Baroni;baroni;P;-0.0305;0.7072;0.4858;102;84.5;0.456;Lazio | Torino | Verona;2023-24 | 2024-25 | 2025-26
Baroni;baroni;D;-0.0565;0.9216;0.5751;492;411.2;0.603;Lazio | Torino | Verona;2023-24 | 2024-25 | 2025-26
Baroni;baroni;C;-0.0796;0.923;0.5841;514;419.3;0.58;Lazio | Torino | Verona;2023-24 | 2024-25 | 2025-26
Baroni;baroni;A;-0.0377;0.8926;0.5388;346;290.8;0.657;Lazio | Torino | Verona;2023-24 | 2024-25 | 2025-26
Bigica;bigica;P;-0.0126;0.0196;0.0196;1;0.7;0.0;Sassuolo;2023-24
Bigica;bigica;D;-0.115;0.0909;0.0564;5;3.5;0.612;Sassuolo;2023-24
Bigica;bigica;C;-0.082;0.0909;0.0555;5;3.5;0.638;Sassuolo;2023-24
Bigica;bigica;A;-0.0414;0.0385;0.0355;2;1.4;0.084;Sassuolo;2023-24
Bocchetti;bocchetti;P;0.0277;0.1611;0.1217;8;6.7;0.324;Monza;2024-25
Bocchetti;bocchetti;D;-0.177;0.4565;0.2889;35;29.4;0.58;Monza;2024-25
Bocchetti;bocchetti;C;-0.0601;0.5079;0.3308;43;36.1;0.535;Monza;2024-25
