Season;Round;CapturedAt;Club;Coach;Role;ClubWeightedVotes;ClubGames;LeagueWeightedVotes;LeagueGames;ClubMV;LeagueMV;RawDelta;Reliability;CurrentFIA
2026-27;3;2026-09-13T12:42:59.356463+00:00;Atalanta;Maurizio Sarri;A;88.000000;15;1077.380000;178;5.8667;6.0527;-0.18603;0.55556;-0.10335
2026-27;3;2026-09-13T12:42:59.356463+00:00;Atalanta;Maurizio Sarri;C;127.510000;22;2375.500000;396;5.7959;5.9987;-0.20283;0.64706;-0.13124
2026-27;3;2026-09-13T12:42:59.356463+00:00;Atalanta;Maurizio Sarri;D;109.500000;19;2047.530000;346;5.7632;5.9177;-0.15456;0.61290;-0.09473
2026-27;3;2026-09-13T12:42:59.356463+00:00;Atalanta;Maurizio Sarri;P;26.000000;4;412.000000;68;6.5000;6.0588;0.44118;0.25000;0.11029
2026-27;3;2026-09-13T12:42:59.356463+00:00;Bologna;Domenico Tedesco;A;34.980000;6;1077.380000;178;5.8300;6.0527;-0.22270;0.33333;-0.07423
2026-27;3;2026-09-13T12:42:59.356463+00:00;Bologna;Domenico Tedesco;C;111.510000;19;2375.500000;396;5.8689;5.9987;-0.12979;0.61290;-0.07955
2026-27;3;2026-09-13T12:42:59.356463+00:00;Bologna;Domenico Tedesco;D;87.490000;15;2047.530000;346;5.8327;5.9177;-0.08505;0.55556;-0.04725
2026-27;3;2026-09-13T12:42:59.356463+00:00;Bologna;Domenico Tedesco;P;16.500000;3;412.000000;68;5.5000;6.0588;-0.55882;0.20000;-0.11176
2026-27;3;2026-09-13T12:42:59.356463+00:00;Cagliari;Fabio Pisacane;A;68.020000;11;1077.380000;178;6.1836;6.0527;0.13094;0.47826;0.06262
2026-27;3;2026-09-13T12:42:59.356463+00:00;Cagliari;Fabio Pisacane;C;156.040000;25;2375.500000;396;6.2416;5.9987;0.24286;0.67568;0.16410
2026-27;3;2026-09-13T12:42:59.356463+00:00;Cagliari;Fabio Pisacane;D;105.520000;17;2047.530000;346;6.2071;5.9177;0.28934;0.58621;0.16961
2026-27;3;2026-09-13T12:42:59.356463+00:00;Cagliari;Fabio Pisacane;P;25.000000;4;412.000000;68;6.2500;6.0588;0.19118;0.25000;0.04779
2026-27;3;2026-09-13T12:42:59.356463+00:00;Como;Cesc Fabregas;A;51.500000;8;1077.380000;178;6.4375;6.0527;0.38480;0.40000;0.15392
2026-27;3;2026-09-13T12:42:59.356463+00:00;Como;Cesc Fabregas;C;119.000000;19;2375.500000;396;6.2632;5.9987;0.26442;0.61290;0.16206
2026-27;3;2026-09-13T12:42:59.356463+00:00;Como;Cesc Fabregas;D;85.980000;14;2047.530000;346;6.1414;5.9177;0.22371;0.53846;0.12046
2026-27;3;2026-09-13T12:42:59.356463+00:00;Como;Cesc Fabregas;P;18.510000;3;412.000000;68;6.1700;6.0588;0.11118;0.20000;0.02224
2026-27;3;2026-09-13T12:42:59.356463+00:00;Fiorentina;Fabio Grosso;A;46.000000;8;1077.380000;178;5.7500;6.0527;-0.30270;0.40000;-0.12108
