Id;Nome;FuoriLista;Squadra;Eta;Ruolo;RuoloMantra;PGv;MV;FM;FVM;Quotazione
4510;Leao;*;Milan;27;A;A;0;0;0;75;18
2531;Lukaku;*;Napoli;33;A;Pc;0;0;0;45;10
7554;Romero D.;;Parma;23;A;Pc;1;6.5;6.5;37;10
6229;Tourè E.;;Parma;25;A;Pc;2;5.5;5.5;37;10
7547;Kevin Carlos;;Cagliari;25;A;Pc;1;5.5;5;36;12
7223;Vergara;;Napoli;23;C;W/T;1;7.5;11.5;35;10
827;Locatelli;;Juventus;28;C;M/C;2;6.5;6.75;33;9
779;Cristante;;Roma;31;C;M/C;2;6.5;6.5;29;9
7600;Osmajic;;Genoa;27;A;Pc;2;6;7.5;28;8
6827;Njie;;Fiorentina;21;C;W/A;1;6.5;6.5;28;4
5823;Baldanzi;;Genoa;23;C;T;3;5.83;5.83;28;11
5888;Casadei;;Torino;23;C;C/T;1;5;5;27;9
5427;Gutierrez;*;Napoli;25;D;Ds/E;0;0;0;26;8
7623;Gnonto;;Fiorentina;23;A;W/A;0;0;0;25;7
5544;David;*;Juventus;26;A;Pc;1;5;5;25;8
7551;Schmid;;Frosinone;26;C;W/T;2;5.75;5.5;25;8
5562;Thuram K.;;Juventus;25;C;C;0;0;0;25;9
5500;Cancellieri;;Lazio;24;C;W/A;2;5.75;5.5;25;9
795;El Shaarawy;;Genoa;34;C;W;0;0;0;25;7
6618;Cissè A.;;Milan;20;C;W/T;2;6.25;7.75;24;5
7619;Monteiro J.;;Lecce;27;C;W/A;0;0;0;23;7
6010;Fazzini;;Cagliari;23;C;C/T;2;5.5;5.25;23;6
5858;Ferguson;;Bologna;27;C;M/C;2;6;6;23;7
7313;Ratkov;*;Lazio;23;A;Pc;0;0;0;22;9
4856;Chukwueze;;Milan;27;C;E/W;2;6.75;7.25;22;8
4479;Elmas;;Atalanta;27;C;W/T;1;5.5;5.5;22;7
6496;Bartesaghi;;Milan;21;D;Ds/E;2;6;6;22;8
4896;Maldini;;Cagliari;25;A;T/A;2;5.75;5.75;21;5
7311;Romano;;Cagliari;20;C;M/C;2;6.5;8;21;7
6831;Neres;;Napoli;29;A;W/A;0;0;0;20;6
5672;Dia;*;Lazio;30;A;A;2;6;6.25;20;10
4728;Nkunku;*;Milan;29;A;A;0;0;0;20;13
7624;Braganca;;Torino;27;C;C;0;0;0;20;6
6717;Konè I.;;Sassuolo;24;C;C;0;0;0;20;8
6680;Karlstrom;;Udinese;31;C;M/C;2;6.5;6.5;20;7
4465;Fagioli;;Fiorentina;25;C;M/C;2;5.5;5.25;20;7
530;Pellegrini Lo.;;Roma;30;C;C/T;0;0;0;20;9
6485;Kristensen T.;;Atalanta;24;D;Dd/Dc;0;0;0;20;6
5885;Dodò;;Fiorentina;28;D;Dd/E;1;5;5;20;9
5739;De Winter;;Milan;24;D;Dd/Dc;2;6.75;6.75;20;5
5365;Dragusin;;Fiorentina;24;D;Dc;2;4;3.75;20;7
2188;Marusic;;Lazio;34;D;Dd/Ds/E;1;6;6;20;6
460;Romagnoli;*;Lazio;31;D;Dc;0;0;0;20;6
6641;Suzuki;*;Parma;24;P;Por;0;0;0;20;7
6549;Pierotti;;Lecce;25;C;W;2;5.75;5.75;19;6
