Squadra;Ruolo;Nome;Costo
ALVIN SUPERSTAR;P;Okoye;31
ALVIN SUPERSTAR;P;Provedel;20
ALVIN SUPERSTAR;P;Perri;1
ALVIN SUPERSTAR;D;Gila;53
ALVIN SUPERSTAR;D;Solet;41
ALVIN SUPERSTAR;D;Zortea;13
ALVIN SUPERSTAR;D;Favasuli;1
ALVIN SUPERSTAR;D;Beukema;1
ALVIN SUPERSTAR;D;Cittadini;1
ALVIN SUPERSTAR;D;Mazzocchi;1
ALVIN SUPERSTAR;D;Terzic;1
ALVIN SUPERSTAR;C;Zaccagni;61
ALVIN SUPERSTAR;C;Zielinski;41
ALVIN SUPERSTAR;C;Politano;31
ALVIN SUPERSTAR;C;Sarr P.;11
ALVIN SUPERSTAR;C;Modric;5
ALVIN SUPERSTAR;C;Ndour;2
ALVIN SUPERSTAR;C;Perez K.;1
ALVIN SUPERSTAR;C;Pasalic;1
ALVIN SUPERSTAR;A;Kean;200
ALVIN SUPERSTAR;A;Woltemade;172
ALVIN SUPERSTAR;A;Davis K.;160
ALVIN SUPERSTAR;A;Dovbyk;60
ALVIN SUPERSTAR;A;Raimondo;30
ALVIN SUPERSTAR;A;Pellegrino M.;20
Porca MaDovbyk;P;Carnesecchi;69
Porca MaDovbyk;P;Caprile;2
Porca MaDovbyk;P;Muric;1
Porca MaDovbyk;D;Chalobah T.;71
Porca MaDovbyk;D;Bisseck;53
Porca MaDovbyk;D;Hermoso;21
Porca MaDovbyk;D;Valdepenas;8
Porca MaDovbyk;D;Belghali;1
Porca MaDovbyk;D;Correia T.;1
Porca MaDovbyk;D;Balerdi;1
Porca MaDovbyk;D;Pavard;1
Porca MaDovbyk;C;McTominay;151
Porca MaDovbyk;C;Da Cunha;64
Porca MaDovbyk;C;Zaniolo;61
Porca MaDovbyk;C;Vlasic;50
Porca MaDovbyk;C;Samardzic;35
Porca MaDovbyk;C;Rodriguez Je.;6
Porca MaDovbyk;C;Volpato;1
Porca MaDovbyk;C;Zambo Anguissa;1
Porca MaDovbyk;A;Ramos G.;251
Porca MaDovbyk;A;Castro S.;101
Porca MaDovbyk;A;Diao;30
Porca MaDovbyk;A;Ghedjemis;2
Porca MaDovbyk;A;Camarda;1
Porca MaDovbyk;A;Geubbels;1
Atletico Gomez;P;Vicario;56
Atletico Gomez;P;Grabara;1
Atletico Gomez;P;Palmisani;1
Atletico Gomez;D;Rrahmani;58
Atletico Gomez;D;Spence;56
Atletico Gomez;D;Di Lorenzo;44
Atletico Gomez;D;Vojvoda;18
Atletico Gomez;D;Jimenez A.;10
Atletico Gomez;D;Delprato;2
Atletico Gomez;D;Bracaglia;1
Atletico Gomez;D;Theate;1
Atletico Gomez;C;Goncalves P.;60
Atletico Gomez;C;Bernardeschi;58
Atletico Gomez;C;Moreira;50
Atletico Gomez;C;Atta;41
Atletico Gomez;C;Alajbegovic;40
Atletico Gomez;C;Jones C.;35
Atletico Gomez;C;Thorstvedt;4
Atletico Gomez;C;Liberali;1
Atletico Gomez;A;Dybala;118
Atletico Gomez;A;Pinamonti;97
Atletico Gomez;A;Scamacca;82
Atletico Gomez;A;Beto;80
Atletico Gomez;A;De Ketelaere;57
Atletico Gomez;A;Ngonge;29
FC LEAO MERAVIGLIAO;P;Svilar;80
FC LEAO MERAVIGLIAO;P;De Marzi;1
FC LEAO MERAVIGLIAO;P;Gollini;1
FC LEAO MERAVIGLIAO;D;Bremer;72
FC LEAO MERAVIGLIAO;D;Bastoni;47
FC LEAO MERAVIGLIAO;D;Tavares N.;16
FC LEAO MERAVIGLIAO;D;Scalvini;15
FC LEAO MERAVIGLIAO;D;Koulierakis;1
FC LEAO MERAVIGLIAO;D;Idzes;1
FC LEAO MERAVIGLIAO;D;Cambiaso;1
FC LEAO MERAVIGLIAO;D;Diego Carlos;1
FC LEAO MERAVIGLIAO;C;Orsolini;86
FC LEAO MERAVIGLIAO;C;Pulisic;73
FC LEAO MERAVIGLIAO;C;De Bruyne;71
FC LEAO MERAVIGLIAO;C;Konè M.;8
FC LEAO MERAVIGLIAO;C;Ederson D.S.;3
FC LEAO MERAVIGLIAO;C;Hutchinson;1
FC LEAO MERAVIGLIAO;C;Diouf;1
FC LEAO MERAVIGLIAO;C;Perrone;1
FC LEAO MERAVIGLIAO;A;Martinez L.;241
FC LEAO MERAVIGLIAO;A;Berardi;110
FC LEAO MERAVIGLIAO;A;Krstovic;56
FC LEAO MERAVIGLIAO;A;Colombo;51
FC LEAO MERAVIGLIAO;A;Esposito Se.;51
FC LEAO MERAVIGLIAO;A;Zeballos;11
Tonno Rio Malen;P;Maignan;65
Tonno Rio Malen;P;Falcone;5
Tonno Rio Malen;P;Bijlow;1
Tonno Rio Malen;D;Kamara H.;11
Tonno Rio Malen;D;Valeri;5
Tonno Rio Malen;D;Tiago Gabriel;4
Tonno Rio Malen;D;Vasquez;3
Tonno Rio Malen;D;Mangas;1
Tonno Rio Malen;D;Kaiki;1
Tonno Rio Malen;D;Valle;1
Tonno Rio Malen;D;Kabasele;1
Tonno Rio Malen;C;Conceicao;81
Tonno Rio Malen;C;Rowe;41
Tonno Rio Malen;C;Taylor K.;12
Tonno Rio Malen;C;Milla;1
Tonno Rio Malen;C;Gorter;1
Tonno Rio Malen;C;Piotrowski;1
Tonno Rio Malen;C;Ellertsson;1
Tonno Rio Malen;C;Lobotka;1
Tonno Rio Malen;A;Malen;341
Tonno Rio Malen;A;Hojlund;112
Tonno Rio Malen;A;Thuram;112
Tonno Rio Malen;A;Raspadori;62
Tonno Rio Malen;A;Piccoli;31
Tonno Rio Malen;A;Kvernadze;11
Bettercallsaud;P;Meret;42
Bettercallsaud;P;Skorupski;10
Bettercallsaud;P;Milinkovic-Savic V.;7
Bettercallsaud;D;Akanji;70
Bettercallsaud;D;Mancini;70
Bettercallsaud;D;Ramon;43
Bettercallsaud;D;Miranda J.;23
Bettercallsaud;D;Carlos Augusto;5
Bettercallsaud;D;Rensch;1
Bettercallsaud;D;Bellanova;1
Bettercallsaud;D;Zappacosta;1
Bettercallsaud;C;Paz N.;170
Bettercallsaud;C;Baturina;146
Bettercallsaud;C;Rabiot;125
Bettercallsaud;C;Frattesi;65
Bettercallsaud;C;Kessiè;21
Bettercallsaud;C;Mandragora;16
Bettercallsaud;C;Saelemaekers;7
Bettercallsaud;C;Cambiaghi;3
Bettercallsaud;A;Simeone;95
Bettercallsaud;A;Boga;30
Bettercallsaud;A;Bowie;20
Bettercallsaud;A;Varela G.;1
Bettercallsaud;A;Cutrone;1
Bettercallsaud;A;Zapata D.;1
Frusinello 92;P;Butez;51
Frusinello 92;P;Mandas;15
Frusinello 92;P;Sanchez Ro.;1
Frusinello 92;D;Dimarco;145
Frusinello 92;D;Wesley;130
Frusinello 92;D;N'Dicka;39
Frusinello 92;D;Ostigard;30
Frusinello 92;D;Kalulu;30
Frusinello 92;D;Spinazzola;25
Frusinello 92;D;Monterisi;10
Frusinello 92;D;Lucumì;1
Frusinello 92;C;Mora;58
Frusinello 92;C;Ekkelenkamp;51
Frusinello 92;C;Barella;50
Frusinello 92;C;Mastantuono;40
Frusinello 92;C;Gudmundsson A.;32
Frusinello 92;C;Calò;3
Frusinello 92;C;Sucic P.;1
Frusinello 92;C;Mbangula;1
Frusinello 92;A;Kolo Muani;161
Frusinello 92;A;Soulè;72
Frusinello 92;A;Yeboah J.;34
Frusinello 92;A;Adams A.;18
Frusinello 92;A;Bobcek;1
Frusinello 92;A;Bonny;1
Old Wild Weston;P;Martinez Jo.;52
Old Wild Weston;P;De Gea;8
Old Wild Weston;P;Corvi;1
Old Wild Weston;D;Molina N.;82
Old Wild Weston;D;Pavlovic;46
Old Wild Weston;D;Stones;22
Old Wild Weston;D;Couto;15
Old Wild Weston;D;Bernasconi;12
Old Wild Weston;D;Celik;10
Old Wild Weston;D;Mina;1
Old Wild Weston;D;Kolasinac;1
Old Wild Weston;C;Calhanoglu;200
Old Wild Weston;C;McKennie;45
Old Wild Weston;C;Gonzalez N.;20
Old Wild Weston;C;Cacciamani;15
Old Wild Weston;C;Isaksen;10
Old Wild Weston;C;Gaetano;10
Old Wild Weston;C;Adzic;1
Old Wild Weston;C;Bernabè;1
Old Wild Weston;A;Esposito F.P.;220
Old Wild Weston;A;Douvikas;112
Old Wild Weston;A;Laurientè;50
Old Wild Weston;A;Yildiz;35
Old Wild Weston;A;Santos A.;25
Old Wild Weston;A;Adams C.;1
