Timestamp;Nome;Ruolo;Club;ScoutScore;FVM;Quotazione;PV;MV;FM;Gol;Assist;Titolarita;Trend;Status
2026-09-05T15:45:33.222379+02:00;Osmajic;A;Genoa;0;88.8;28;8;2;6.0;7.5;1;0;100.0;50.0;available
2026-09-05T15:45:33.222379+02:00;Locatelli;C;Juventus;0;88.1;33;9;2;6.5;6.75;0;1;90.0;50.0;available
2026-09-05T15:45:33.222379+02:00;De Winter;D;Milan;0;87.3;20;5;2;6.5;6.5;0;0;90.0;50.0;available
2026-09-05T15:45:33.222379+02:00;Cristante;C;Roma;0;87.0;29;9;2;6.5;6.5;0;0;90.0;50.0;available
2026-09-05T15:45:33.222379+02:00;Njie;C;Fiorentina;0;86.1;28;4;1;7.0;7.0;0;0;100.0;50.0;available
2026-09-05T15:45:33.222379+02:00;Comuzzo;D;Torino;0;85.8;13;8;2;6.25;7.75;1;0;100.0;50.0;available
2026-09-05T15:45:33.222379+02:00;Romano;C;Cagliari;0;85.4;21;7;2;7.0;8.5;1;0;90.0;50.0;available
2026-09-05T15:45:33.222379+02:00;Doekhi;D;Lazio;0;84.3;16;8;2;6.25;6.25;0;0;80.0;50.0;available
2026-09-05T15:45:33.222379+02:00;Chukwueze;C;Milan;0;84.1;22;8;2;6.75;7.25;0;1;85.0;50.0;available
2026-09-05T15:45:33.222379+02:00;Vergara;C;Napoli;0;83.2;35;10;1;7.5;11.5;1;1;55.0;50.0;available
2026-09-05T15:45:33.222379+02:00;Ferguson;C;Bologna;0;82.7;23;7;2;6.25;6.25;0;0;90.0;50.0;available
2026-09-05T15:45:33.222379+02:00;Rodriguez Ju.;D;Cagliari;0;82.0;14;4;2;6.25;6.25;0;0;90.0;50.0;available
2026-09-05T15:45:33.222379+02:00;Obert;D;Cagliari;0;81.7;15;7;2;6.0;6.0;0;0;90.0;50.0;available
2026-09-05T15:45:33.222379+02:00;Romero D.;A;Parma;0;80.9;37;10;1;6.5;6.5;0;0;55.0;50.0;available
